ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32977015,1.224146135,Spanish Segunda RFEF - Group 3,2024-02-04,08:00:00,Cerdanyola del Valles,SE Penya Independent,1.97,3.0,4.1,1.53,1.45,1.01,1.64,1.01,1.01,1.01,1.01,7.0,7.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32977370,1.224152063,Spanish Segunda RFEF - Group 3,2024-02-04,08:00:00,Terrassa,SD Formentera,1.76,3.2,5.2,2.4,1.57,2.16,1.69,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32976818,1.224144065,Spanish Segunda RFEF - Group 3,2024-02-04,08:00:00,CE Europa,CE Andratx,1.7,3.4,5.6,2.38,1.57,2.2,1.66,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32978285,1.224168347,Spanish Segunda RFEF - Group 3,2024-02-04,08:00:00,Centre d'Esports Manresa,CF Badalona Futur,3.05,2.3,2.38,1.57,1.35,2.1,1.58,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976853,1.224144335,Spanish Segunda RFEF - Group 4,2024-02-04,08:00:00,CA Antoniano,Velez CF,1.8,3.3,4.8,2.22,1.66,2.02,1.8,11.0,15.5,1.01,1.01,7.4,7.6,21.0,1.01,12.0,11.0,1.01,1.01,20.0,23.0,1.01,1.01,17.5,1.01
32976753,1.224142913,Portuguese Segunda Liga,2024-02-04,08:00:00,Leixoes,CD Nacional Funchal,2.76,2.88,2.5,1.96,1.68,1.73,1.89,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0
32977610,1.224159862,Spanish Segunda RFEF - Group 5,2024-02-04,08:00:00,UD Montijo,Villanovense,2.96,2.68,2.82,2.9,1.44,2.18,1.7,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,980.0
32978283,1.224167984,Spanish Segunda RFEF - Group 5,2024-02-04,08:00:00,Cacereno,CD Mensajero,1.64,3.35,5.3,2.16,1.63,2.04,1.69,12.5,18.0,50.0,1.01,7.4,9.2,27.0,1.01,10.5,11.5,30.0,1.01,19.5,25.0,1.01,1.01,16.5,1.01
32976865,1.224144785,Spanish Primera Division RFEF Group 1,2024-02-04,08:00:00,Barcelona B,SD Logrones,1.53,3.55,6.2,2.06,1.69,2.06,1.68,13.5,21.0,65.0,1.01,7.4,10.0,32.0,1.01,9.2,11.5,32.0,1.01,17.0,22.0,55.0,1.01,12.5,1.01
32976124,1.224127556,Spanish Primera Division RFEF Group 1,2024-02-04,08:00:00,Sabadell,CF Rayo Majadahonda,1.81,3.05,4.4,2.24,1.59,2.0,1.72,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,1.01
32982712,1.224246781,Spanish Primera Division RFEF Group 2,2024-02-04,08:00:00,AD Ceuta FC,Real Madrid Castilla,3.95,3.25,2.04,2.12,1.71,1.94,1.85,12.0,9.0,12.0,23.0,14.0,8.2,11.5,24.0,32.0,19.0,23.0,50.0,1.01,70.0,85.0,150.0,1.01,18.5
32981202,1.224218028,Azerbaijan Premier League,2024-02-04,08:00:00,FK Sumqayit,Neftchi Baku,3.5,3.0,2.2,2.36,1.58,2.0,1.81,10.5,8.4,14.5,34.0,12.0,7.6,12.5,1.01,26.0,17.0,24.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
